type;language;license;rightsHolder;accessRights;datasetID;institutionCode;datasetName;basisOfRecord;occurrenceID;recordedBy;individualCount;occurrenceStatus;eventDate;continent;countryCode;verbatimLatitude;verbatimLongitude;verbatimCoordinates;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;identifiedBy;scientificName;kingdom;scientificNameAuthorship;taxonRank;nomenclaturalCode
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;576a67a5-916d-4634-c627-08d8721756cd;Waterschap Rivierenland;1;present;9/08/2019;Europe;NL;4.302.359.301;1.377.447.239;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.86042;5.13671;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;c923f126-6924-46d6-957e-08d8721756d9;Waterschap Rivierenland;1;present;20/11/2019;Europe;NL;4.262.523.284;1.437.460.256;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.82477;5.22396;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;36c3647b-875c-450b-4272-08d8721756dc;Waterschap Rivierenland;1;present;16/09/2019;Europe;NL;4.239.221.204;1.356.086.298;44-18;Rijksdriehoekscoördinaten;EPSG:28992;51.80360;5.10606;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;92f05dc8-9599-461d-cad5-08d8721756de;Waterschap Rivierenland;1;present;11/09/2019;Europe;NL;4.239.221.204;1.356.086.298;44-18;Rijksdriehoekscoördinaten;EPSG:28992;51.80360;5.10606;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;bd8051fa-d2b6-410f-1e54-08d8721756e6;Waterschap Rivierenland;1;present;16/01/2019;Europe;NL;433.666.221;1.391.396.789;38-48;Rijksdriehoekscoördinaten;EPSG:28992;51.89129;5.15680;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;39a54961-c140-4a5d-f81f-08d872175710;Waterschap Rivierenland;1;present;6/03/2019;Europe;NL;4.295.478.828;1.414.369.303;39-51;Rijksdriehoekscoördinaten;EPSG:28992;51.85434;5.19034;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;964032a3-4d3b-474f-3563-08d87217575f;Waterschap Rivierenland;1;present;6/03/2019;Europe;NL;429.388.487;1.377.953.975;38-58;Rijksdriehoekscoördinaten;EPSG:28992;51.85280;5.13749;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;310023a2-d10e-47db-0909-08d872175764;Waterschap Rivierenland;1;present;17/04/2019;Europe;NL;4.245.490.157;1.318.759.531;44-17;Rijksdriehoekscoördinaten;EPSG:28992;51.80909;5.05190;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;8c373f85-8f0a-4bcb-c3eb-08d8721757ae;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.298.822.341;1.487.545.122;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85747;5.29654;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Unie Van Waterschappen;http://www.inbo.be/en/norms-for-data-use;insert doi;Unie Van Waterschappen;Mica - Muskrat Occurrences collected by UVW in The Netherlands;HumanObservation;9a893906-81ae-4eaa-0af3-08d8721757b1;Waterschap Rivierenland;1;present;8/11/2019;Europe;NL;4.298.822.341;1.487.545.122;39-52;Rijksdriehoekscoördinaten;EPSG:28992;51.85747;5.29654;WGS84;30;Waterschap Rivierenland;Ondatra zibethicus;Animalia;Linnaeus, 1766;species;ICZN
