"type","language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","basisOfRecord","occurrenceID","recordedBy","individualCount","occurrenceRemarks","samplingProtocol","samplingEffort","eventDate","continent","countryCode","municipality","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","identifiedBy","scientificName","kingdom","scientificNameAuthorship","nomenclaturalCode","status"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:13254","Rato",64,"Catch","Other=1",,"2019-3-11","Europe","BE","RONSE ",161465.578458188,93580.5345802292,"Lambert coordinates","Belgian Datum 72",50.7609636575988,3.56907464102256,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:14804","Rato",0,"No catch","Fish traps=2",,"2019-5-15","Europe","BE","ZOTTEGEM ",174569.323383459,109513.409352044,"Lambert coordinates","Belgian Datum 72",50.8800807400569,3.79345533978132,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:17379","Rato",,"","Fish traps=2","times-visited=1","2019-9-24","Europe","BE","OUDENAARDE ",167646.477379037,92796.96780407,"Lambert coordinates","Belgian Datum 72",50.8164481704065,3.55701250714616,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:17382","Rato",,"","Bait trap=2","times-visited=10","2019-9-30","Europe","BE","ROOSDAAL ",169659.787620793,127066.044993665,"Lambert coordinates","Belgian Datum 72",50.8369030817116,4.04317163447271,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:17381","Rato",,"","Bait trap=4","times-visited=10","2019-9-30","Europe","BE","ROOSDAAL ",169667.110518751,126991.705333648,"Lambert coordinates","Belgian Datum 72",50.8369659815038,4.04211583413733,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN",
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:17360","Rato",0,"Identified","Fish traps=4","times-visited=3","2019-10-7","Europe","BE","WORTEGEM-PETEGEM ",168087.396700452,92002.6455568247,"Lambert coordinates","Belgian Datum 72",50.8203330689876,3.54567230179449,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:17856","Rato",0,"Identified","Bait trap=2","times-visited=1","2019-11-4","Europe","BE","WORTEGEM-PETEGEM ",168819.806079214,93875.2645032224,"Lambert coordinates","Belgian Datum 72",50.8271001767262,3.57213440557797,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","absent"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18118","Rato",1,"Identified","Bait trap=1","times-visited=2","2019-11-26","Europe","BE","NINOVE ",167853.911189321,123590.729550158,"Lambert coordinates","Belgian Datum 72",50.8205221666074,3.99396452914787,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18755","Rato",1,"Catch","","times-visited=4","2020-1-9","Europe","BE","MALDEGEM ",216456.578724027,82239.993615983,"Lambert coordinates","Belgian Datum 72",51.2540315606384,3.39817231680927,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/","RATO","http://www.inbo.be/en/norms-for-data-use","insert doi","INBO","Mica Rato Muskrat Occurrences in East Flanders, Belgium","HumanObservation","MICA:RATO:18752","Rato",1,"Catch","","times-visited=4","2020-1-9","Europe","BE","MALDEGEM ",217825.110448245,81723.7857024133,"Lambert coordinates","Belgian Datum 72",51.2662703625305,3.39052100759146,"WGS84","30","Rato","Ondatra zibethicus","Animal","Linnaeus, 1766","ICZN","present"
